TeamCode,TeamName,2026NIT,Power Pool Jotform,2025 Triple Crown NIT,2025 USAV Girls Junior National Championship 10-13,2025 USAV Girls Junior National Championship 14-17,2026 ASICS Kansas City MLK Tournament,2026 City of Oaks Challenge,2026 Fiesta MLK Classic Volleyball Tournament,2026 Florida Fest JNQ,2026 JVA Rock N Rumble Wknd 1 Girls 12U-14U,2026 JVA Rock N Rumble Wknd 2 15U-18U,2026 Mideast Power League (MEPL) ,2026 Salt Lake City 18s Showdown,2026 The Nike Classic,2026 Tour of Texas Stop 1: Austin-Bryan,2026 Triple Crown Colorado Challenge,2026 Tropical Ice Challenge (12-18 OPEN) - Week #2,2026 Windy City Girl's 18's National Qualifier ,2026 adidas Lone Star Classic 18s,AAU Girls National Volleyball Championships-Wave 1,AAU Girls National Volleyball Championships-Wave 2,AAU Girls National Volleyball Championships-Wave 3,AAU Girls National Volleyball Championships-Wave 4,SCSN Girls 12U/17U Event #1 January 17,SCSN Girls 13U Event #1 January 10,SCSN Girls 14U Event #1 December 20,SCSN Girls 14U Event #2 January 24,SCSN Girls 15U Event #1 January 19,SCSN Girls 16U Event #1 January 18,SCSN Girls 18U Event #1 January 10-11
g18athen1ce,ATHENA VB 18-1 Gold National,Yes,YES,,,2 (17 American),,,,,,,,15 (18 Open),,,,,,,,,,,,,,,,,
g18apvbc1so,APVB 18 Elite,Yes,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g14atomc1az,ATOMIC 14 Smack Premier,Yes,NO,13 (13 & Under),3 (13 National),,,,13 (14 Open),,,,,,,,,,,,,,,,,,,,,,
g15ajvba1ls,AJV 15 adidas,Yes,NO,,,25 (14 Open),,,,,,,,,,5 (15 Invitational),,,,,,,,,,,,,,,
g16ajvba1ls,AJV 16 adidas,Yes,YES,35 (15 & Under),,11 (15 Open),,,,,,,,,,13 (16 Invitational),,,,,,,,,,,,,,,
g18ajvba1ls,AJV 18 adidas,Yes,NO,53 (17 & Under),,,,,,,,,,,,,,,,4 (18 USA),,,43 (17 Open),,,,,,,,
g17ajvba1ls,AJV 17 adidas,Yes,YES,41 (16 & Under),,31 (16 National),,,,,,,,,,19 (17 Invitational),,,,,,,,,,,,,,,
g16aperf1ls,AP 16 adidas,Yes,NO,105 (15 & Under),,5 (15 American),,,,,,,,,,1 (16 National),,,,,,,,,,,,,,,
g15aperf1ls,AP 15 adidas,Yes,NO,89 (14 & Under),,22 (14 Open),,,,,,,,,,13 (15 Invitational),,,,,,,,,,,,,,,
g13aperf1ls,AP 13 adidas,Yes,NO,,21 (12 National),,,,,,,,,,,,,,,,3 (12 Open),,,,,,,,,,
g14askyl1ls,Austin Skyline 14 Royal,Yes,NO,13 (13 & Under),1 (13 National),,,,,,,,,,,13 (14 Invitational),,,,,,,,,,,,,,,
g15askyl1ls,Austin Skyline 15 Royal,Yes,NO,57 (14 & Under),,26 (14 National),,,,,,,,,,21 (15 Invitational),,,,,,,,,,,,,,,
g16askyl1ls,Austin Skyline 16 Royal,Yes,NO,,,,,,,,,,,,,24 (16 National),,,,,,,,,,,,,,,
g17askyl1ls,Austin Skyline 17 Royal,Yes,NO,98 (16 & Under),,5 (16 Freedom),,,,,,,,,,5 (17 National ),,,,,,,,,,,,,,,
g18askyl1ls,Austin Skyline 18 Royal,Yes,NO,5 (17 & Under),,25 (17 Open),,,,,,,,,,,,,,10 (18 Open),,,,,,,,,,,
g16bgsky1ev,Big Sky 16-1,Yes,NO,,,,,,,,,,,,,,5 (16 Elite),,,,,,,,,,,,,,
g16bomer1fl,BVA 16 N Chris,Yes,NO,,,,,,,,,,,,,,,,,,,,,23 (15 Premier),,,,,,,
g16cjvvb1cr,CJV 16 Mizuno,Yes,YES,53 (15 & Under),,21 (15 National),,1 (16U Girls),,,,,,,,,,,,,,,,,,,,,,,
g15cjvvb1cr,CJV 15 Mizuno,Yes,NO,69 (14 & Under),,,,3 (15U Girls ),,,,,,,,,,,,,,21 (14 Open),,,,,,,,,
g15carun1cr,CUVC 15 Open,Yes,NO,74 (14 & Under),,,,,,,,,,,14 (15 Open),,,,,,,33 (14 Open),,,,,,,,,
g16carun1cr,CUVC 16 Open,Yes,NO,95 (15 & Under),,,,,,,,,,,9 (16 Open),,,,,,,25 (15 Open),,,,,,,,,
g14carun1cr,CUVC 14 Open,Yes,NO,,,,,,,,,,,,,,,,,,26 (13 Open),,,,,,,,,,
g17carun1cr,CUVC 17 Open,Yes,YES,61 (16 & Under),,,,,,,,,,,5 (17 Open),,,,,,,,21 (16 Open),,,,,,,,
g17chici1gl,Chi City Elite 171,Yes,NO,,,,,,,,,,,,,,,,,,,,91 (16 Premier),,,,,,,,
g17cityv1sc,CITY 17 Gold,Yes,YES,49 (16 & Under),,27 (16 Open),,,,,,,,,,,,,,,,,,,5th (17U),,,,,,
g13cvbco1ov,CVC 13 BLACK,Yes,NO,,3 (12 National),,,,,,,,,,3 (13 Open),,,,,,,,,,,,,,,,
g15cvbco1ov,CVC 15 BLACK,Yes,NO,,,5 (14 National),,,,,,,,,21 (15 Open),,,,,,,,,,,,,,,,
g18cvbco1ov,CVC 18 BLACK,Yes,NO,,,2 (17 USA),,,,,,,,,3 (18 Open),,,,,,,,,,,,,,,,
g15cnvbc1ha,Mizuno CNVBC 15Coach Ib,Yes,NO,102 (14 & Under),,47 (14 American),,,,,,,,,,,,,,,,,,,,,,,,,
g16cnvbc1ha,Mizuno CNVBC 16Angela,Yes,NO,107 (15 & Under),,18 (15 USA),3 (17 Club),,,,,,,,,,,,,,,,,,,,,,,,
g16onevb1az,Club One AZ 16Platinum,Yes,NO,118 (15 & Under),,9 (15 Patriot),,,21 (15/16 Open),,,,,,,,,,,,,,,,,,,,,,
g17onevb1az,Club One AZ 17Platinum,Yes,NO,58 (16 & Under),,19 (16 American),,,21 (17/18 Open),,,,,,,,,,,,,,,,,,,,,,
