g12coast1sc,COAST 12-1,,,,,,,,,,,,,,,,5th (12U Event #1),,,,,,
g12cojrs1rm,CoJrs 12Mal,,,,,,,,,9 (13 Club),,,,,,,,,,,,,
g12coqui1pu,BORINQUEN COQUI 12-1F,,,,,,,,,,,,,,9 (11 Open),,,,,,,,
g12coqui2pu,BORINQUEN COQUI 12-2F,,,,,,,,,,,,,,13 (11 Club),,,,,,,,
g12corvb1by,Core Elite 12U Black,,,,,,,,,,,,,,49 (11 Club),,,,,,,,
g12couvb1ho,CVBC 12-1 Ballers 2.0,,,,,,,,,,3 (12 Club Red),None (12 Girls Full Schedule),,,,,,,,,,,
g12couvb9ho,CVBC 12-2,,,,,,,,,,17 (12 Club Blue),,,,,,,,,,,,
g12cross1ho,COA 12-Scorpions,,,,,,,,,,18 (12 Premier),None (12 Girls Full Schedule),,,29 (11 Club),,,,,,,,
g12cross2ho,COA 12-Hurricane,,,,,,,,,,15 (12 Club Red),,,,,,,,,,,,
g12cvata1rm,CVA 12 Black,,,,,,,,,9 (13 Club),,,,,,,,,,,,,
g12cvbco1ov,CVC 12 BLACK,,5 (11 National),,,,,1 (12 Open),,,1 (12 Open),,,,,,,,,,,,
g12cvbco2ov,CVC 12 BLUE,,31 (11 National),,1 (12 Open),,,,,,,,,,,,,,,,,,
g12cvbco3ov,CVC 12 SILVER,,,,4 (12 Open),,,,,,,,,,,,,,,,,,
g12cvbco4ov,CVC 12 ROYAL,,,,9 (12 Club),,,,,,,,,,,,,,,,,,
g12cwave1ov,CWAVE Pinney,,,,2 (12 Club),,,,,,,,,,,,,,,,,,
g12dforc1ho,Decatur Force 12 Teal,,,,,,,,,,5 (12 Premier),,,,,,,,,,,,
g12dforc2ho,Decatur Force 12 Aqua,,,,,,,,,,9 (12 Club Blue),,,,,,,,,,,,
g12eleva1ov,Elevation 12 BF,,5 (11 National),,,,,,,,2 (12 Open),,,,,,,,,,,,
g12eleva2ov,Elevation 12 Jada,,,,,,,,,,3 (12 Open),,,,,,,,,,,,
g12eleva3ov,Elevation 12 Stacey,,,,,,,,,,9 (12 Premier),,,,,,,,,,,,
g12elite1gp,NE Elite 12 Top Gun,,,,,,,,,,,,,,5 (11 Club),,,,,,,,
g12engry1fl,PureEnergy 12UNuclear T,,,,,,,,,,,,,,72 (11 Club),,,,,,,,
g12epvbc1bg,Epic 12-Black,,,,,,,11 (12 Club),,,,,,,,,,,,,,,
g12evavb1ho,Empowered 12 Elite Black,,,,,,,,,,21 (12 Club Red),,,,,,,,,,,,
